Orientation,Rotating_Speed_(rpm),Molecular_Weight_(g/mol),Cosolvent1,Cosolvent2,Cosolvent_Ratio,Polymer_Concentration_(wt%),MWCNT,Cloisite30B clay,BaTiO3,Graphene,Graphene Oxide,Reduced Graphene Oxide,PBO,Polyaniline,LiCl,Fluorosurfactant,CNT,Ag Nanoparticle,Nanosilica,Platinum,NaNbO3,HNT,ZnO,Nickle Chloride Hexahydrate,BiCl3,Filler1_%_(wt%),Filler2_%_(wt%),Average_Temperature,Average_Humidity_(%),Needle_Size_(mm),Distance_(cm),Voltage_(kV),Flow_rate_(ml/hr),Electric_Field_(kV/m),Diameter_(nm),XRD ?-phase_content_(%),FTIR ?-phase_content_(%),Generated_Voltage_(V),Rank,Input_force_(N),Horizontal_Deflection_(mm),Deflection_(mm),Strain_(mm/mm),frequency_(Hz),Orignal_Sample_Length_(mm),Test,Reference
0,0,534000,DMF,Acetone,2/3,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0.55,N/A,15,9,1.2,60,200,N/A,N/A,0.13,1,4.44,N/A,N/A,N/A,20,N/A,Impact/Compression,A flexible piezoelectric force sensor based on PVDF fabrics
0,0,534000,DMF,Acetone,2/3,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0.55,N/A,15,12,1.2,80,200,N/A,N/A,0.14,1,3.33,N/A,N/A,N/A,20,N/A,Impact/Compression,A flexible piezoelectric force sensor based on PVDF fabrics
0,0,534000,DMF,Acetone,2/3,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0.55,N/A,15,15,1.2,100,150,N/A,N/A,0.135,1,3.56,N/A,N/A,N/A,20,N/A,Impact/Compression,A flexible piezoelectric force sensor based on PVDF fabrics
0,0,534000,DMF,Acetone,2/3,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0.55,N/A,15,18,1.2,120,200,N/A,N/A,0.107,1,4.44,N/A,N/A,N/A,20,N/A,Impact/Compression,A flexible piezoelectric force sensor based on PVDF fabrics
0,0,534000,DMF,Acetone,2/3,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0.55,N/A,15,12,0.6,80,200,N/A,N/A,0.135,1,3.56,N/A,N/A,N/A,20,N/A,Impact/Compression,A flexible piezoelectric force sensor based on PVDF fabrics
0,0,534000,DMF,Acetone,2/3,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0.55,N/A,15,12,1.2,80,200,N/A,N/A,0.14,1,3.33,N/A,N/A,N/A,20,N/A,Impact/Compression,A flexible piezoelectric force sensor based on PVDF fabrics
0,0,534000,DMF,Acetone,2/3,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0.55,N/A,15,12,1.8,80,200,N/A,N/A,0.105,1,4.44,N/A,N/A,N/A,20,N/A,Impact/Compression,A flexible piezoelectric force sensor based on PVDF fabrics
0,0,534000,DMF,Acetone,2/3,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0.55,N/A,15,12,2.4,80,100,N/A,N/A,0.05,1,4.44,N/A,N/A,N/A,20,N/A,Impact/Compression,A flexible piezoelectric force sensor based on PVDF fabrics
0,0,534000,DMF,Acetone,2/3,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0.55,N/A,15,15,1.2,100,150,N/A,N/A,0.22,1,4,N/A,N/A,N/A,0.1,N/A,Impact/Compression,A flexible piezoelectric force sensor based on PVDF fabrics
0,0,534000,DMF,Acetone,2/3,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0.55,N/A,15,18,1.2,120,200,N/A,N/A,0.24,1,4,N/A,N/A,N/A,0.5,N/A,Impact/Compression,A flexible piezoelectric force sensor based on PVDF fabrics
